,Город,Регион,Население,Год переписи
15,Алейск,Алтайский край,25 380 ,2021
88,Белокуриха,Алтайский край,14 735 ,2021
101,Бийск,Алтайский край,183 852 ,2021
215,Горняк,Алтайский край,10 112 ,2021
313,Заринск,Алтайский край,41 272 ,2021
326,Змеиногорск,Алтайский край,9410 ,2021
367,Камень-на-Оби,Алтайский край,32 385 ,2021
660,Новоалтайск,Алтайский край,73 049 ,2021
812,Рубцовск,Алтайский край,126 834 ,2021
870,Славгород,Алтайский край,27 900 ,2021
1112,Яровое,Алтайский край,16 424 ,2021
85,Белогорск,Амурская область,61 440 ,2021
299,Завитинск,Амурская область,9615 ,2021
322,Зея,Амурская область,19 414 ,2021
798,Райчихинск,Амурская область,15 797 ,2021
842,Свободный,Амурская область,48 517 ,2021
868,Сковородино,Амурская область,7057 ,2021
983,Тында,Амурская область,28 625 ,2021
1038,Циолковский,Амурская область,7194 ,2021
1079,Шимановск,Амурская область,16 488 ,2021
148,Вельск,Архангельская область,21 613 ,2021
382,Каргополь,Архангельская область,8849 ,2021
450,Коряжма,Архангельская область,34 523 ,2021
457,Котлас,Архангельская область,56 093 ,2021
578,Мезень,Архангельская область,2874 ,2021
591,Мирный,Архангельская область,27 262 ,2021
663,Новодвинск,Архангельская область,33 294 ,2021
695,Няндома,Архангельская область,18 473 ,2021
712,Онега,Архангельская область,16 947 ,2021
847,Северодвинск,Архангельская область,157 213 ,2021
890,Сольвычегодск,Архангельская область,1952 ,2021
1077,Шенкурск,Архангельская область,4600 ,2021
53,Ахтубинск,Астраханская область,35 635 ,2021
327,Знаменск,Астраханская область,24 628 ,2021
369,Камызяк,Астраханская область,16 154 ,2021
623,Нариманов,Астраханская область,11 104 ,2021
1027,Харабали,Астраханская область,18 514 ,2021
4,Агидель,Башкортостан,14 219 ,2021
62,Баймак,Башкортостан,17 833 ,2021
81,Белебей,Башкортостан,59 195 ,2021
91,Белорецк,Башкортостан,64 525 ,2021
105,Бирск,Башкортостан,44 295 ,2021
108,Благовещенск,Башкортостан,35 481 ,2021
237,Давлеканово,Башкортостан,21 834 ,2021
271,Дюртюли,Башкортостан,31 185 ,2021
350,Ишимбай,Башкортостан,64 041 ,2021
495,Кумертау,Башкортостан,57 949 ,2021
576,Межгорье,Башкортостан,15 697 ,2021
580,Мелеуз,Башкортостан,56 505 ,2021
639,Нефтекамск,Башкортостан,131 942 ,2021
705,Октябрьский,Башкортостан,115 557 ,2021
822,Салават,Башкортостан,148 575 ,2021
865,Сибай,Башкортостан,56 514 ,2021
916,Стерлитамак,Башкортостан,277 410 ,2021
977,Туймазы,Башкортостан,68 349 ,2021
1015,Учалы,Башкортостан,36 175 ,2021
1110,Янаул,Башкортостан,25 908 ,2021
19,Алексеевка,Белгородская область,36 578 ,2021
107,Бирюч,Белгородская область,7114 ,2021
143,Валуйки,Белгородская область,33 032 ,2021
221,Грайворон,Белгородская область,6179 ,2021
227,Губкин,Белгородская область,85 225 ,2021
